issue_area,geography,economic_frame,competence_frame,values_trust_frame,recommended_audience_hypothesis,suggested_test_channel,risk_or_caveat
corruption / competence / trust,Long Island,"In Long Island, connect corruption / competence / trust to concrete household and economic stakes.",Show a practical plan for managing corruption / competence / trust with measurable delivery.,"Frame corruption / competence / trust around fairness, accountability, and community trust.",voters questioning whether institutions can deliver honestly and competently,survey experiment on trust and delivery claims,Validate with human analyst review; public discourse is not a measure of persuasion.
corruption / competence / trust,Queens,"In Queens, connect corruption / competence / trust to concrete household and economic stakes.",Show a practical plan for managing corruption / competence / trust with measurable delivery.,"Frame corruption / competence / trust around fairness, accountability, and community trust.",voters questioning whether institutions can deliver honestly and competently,survey experiment on trust and delivery claims,Validate with human analyst review; public discourse is not a measure of persuasion.
AI / tech jobs,Albany,"In Albany, connect AI / tech jobs to concrete household and economic stakes.",Show a practical plan for managing AI / tech jobs with measurable delivery.,"Frame AI / tech jobs around fairness, accountability, and community trust.",workers asking whether economic change will create opportunity or displacement,digital content test with worker-opportunity language,Validate with human analyst review; public discourse is not a measure of persuasion.
AI / tech jobs,Brooklyn,"In Brooklyn, connect AI / tech jobs to concrete household and economic stakes.",Show a practical plan for managing AI / tech jobs with measurable delivery.,"Frame AI / tech jobs around fairness, accountability, and community trust.",workers asking whether economic change will create opportunity or displacement,digital content test with worker-opportunity language,Validate with human analyst review; public discourse is not a measure of persuasion.
AI / tech jobs,Long Island,"In Long Island, connect AI / tech jobs to concrete household and economic stakes.",Show a practical plan for managing AI / tech jobs with measurable delivery.,"Frame AI / tech jobs around fairness, accountability, and community trust.",workers asking whether economic change will create opportunity or displacement,digital content test with worker-opportunity language,Validate with human analyst review; public discourse is not a measure of persuasion.
AI / tech jobs,NYC,"In NYC, connect AI / tech jobs to concrete household and economic stakes.",Show a practical plan for managing AI / tech jobs with measurable delivery.,"Frame AI / tech jobs around fairness, accountability, and community trust.",workers asking whether economic change will create opportunity or displacement,digital content test with worker-opportunity language,Validate with human analyst review; public discourse is not a measure of persuasion.
affordability / cost of living,Bronx,"In Bronx, connect affordability / cost of living to concrete household and economic stakes.",Show a practical plan for managing affordability / cost of living with measurable delivery.,"Frame affordability / cost of living around fairness, accountability, and community trust.","households feeling squeezed by prices, taxes, utilities, and daily expenses",email subject-line test or survey prompt,Validate with human analyst review; public discourse is not a measure of persuasion.
affordability / cost of living,Brooklyn,"In Brooklyn, connect affordability / cost of living to concrete household and economic stakes.",Show a practical plan for managing affordability / cost of living with measurable delivery.,"Frame affordability / cost of living around fairness, accountability, and community trust.","households feeling squeezed by prices, taxes, utilities, and daily expenses",email subject-line test or survey prompt,Validate with human analyst review; public discourse is not a measure of persuasion.
affordability / cost of living,Long Island,"In Long Island, connect affordability / cost of living to concrete household and economic stakes.",Show a practical plan for managing affordability / cost of living with measurable delivery.,"Frame affordability / cost of living around fairness, accountability, and community trust.","households feeling squeezed by prices, taxes, utilities, and daily expenses",email subject-line test or survey prompt,Validate with human analyst review; public discourse is not a measure of persuasion.
affordability / cost of living,New York,"In New York, connect affordability / cost of living to concrete household and economic stakes.",Show a practical plan for managing affordability / cost of living with measurable delivery.,"Frame affordability / cost of living around fairness, accountability, and community trust.","households feeling squeezed by prices, taxes, utilities, and daily expenses",email subject-line test or survey prompt,Validate with human analyst review; public discourse is not a measure of persuasion.
housing / rent,Buffalo,"In Buffalo, connect housing / rent to concrete household and economic stakes.",Show a practical plan for managing housing / rent with measurable delivery.,"Frame housing / rent around fairness, accountability, and community trust.",renters and families worried that stable housing is moving out of reach,focus group prompt with renter/homeowner split,Validate with human analyst review; public discourse is not a measure of persuasion.
housing / rent,NYC,"In NYC, connect housing / rent to concrete household and economic stakes.",Show a practical plan for managing housing / rent with measurable delivery.,"Frame housing / rent around fairness, accountability, and community trust.",renters and families worried that stable housing is moving out of reach,focus group prompt with renter/homeowner split,Validate with human analyst review; public discourse is not a measure of persuasion.
